  -5.22548874623443       -1.55028881245205     
  -5.21791022622045       -1.57538986773660     
  -5.21020462010295       -1.60045255318951     
  -5.20237211066708       -1.62547625689511     
  -5.19441288333635       -1.65046036769435     
  -5.18632712617070       -1.67540427519307     
  -5.17811502986457       -1.70030736977013     
  -5.16977678774505       -1.72516904258563     
  -5.16131259576985       -1.74998868558914     
  -5.15272265252541       -1.77476569152783     
  -5.14400715922494       -1.79949945395477     
  -5.13516631970645       -1.82418936723708     
  -5.12620034043077       -1.84883482656420     
  -5.11710943047958       -1.87343522795613     
  -5.10789380155344       -1.89798996827167     
  -5.09855366796975       -1.92249844521675     
  -5.08908924666084       -1.94696005735269     
  -5.07950075717191       -1.97137420410454     
  -5.06978842165911       -1.99574028576943     
  -5.05995246488750       -2.02005770352491     
  -5.04999311422915       -2.04432585943735     
  -5.03991059966114       -2.06854415647034     
  -5.02970515376359       -2.09271199849313     
  -5.01937701171779       -2.11682879028903     
  -5.00892641130417       -2.14089393756391     
  -4.99835359290048       -2.16490684695467     
  -4.98765879947980       -2.18886692603772     
  -4.97684227660869       -2.21277358333753     
  -4.96590427244525       -2.23662622833513     
  -4.95484503773728       -2.26042427147664     
  -4.94366482582038       -2.28416712418191     
  -4.93236389261608       -2.30785419885302     
  -4.92094249662996       -2.33148490888291     
  -4.90940089894983       -2.35505866866401     
  -4.89773936324382       -2.37857489359686     
  -4.88595815575857       -2.40203300009875     
  -4.87405754531736       -2.42543240561238     
  -4.86203780331826       -2.44877252861457     
  -4.84989920373229       -2.47205278862497     
  -4.83764202310157       -2.49527260621472     
  -4.82526654053745       -2.51843140301525     
  -4.81277303771870       -2.54152860172703     
  -4.80016179888962       -2.56456362612831     
  -4.78743311085824       -2.58753590108397     
  -4.77458726299439       -2.61044485255428     
  -4.76162454722792       -2.63328990760381     
  -4.74854525804678       -2.65607049441021     
  -4.73534969249518       -2.67878604227316     
  -4.72203815017173       -2.70143598162323     
  -4.70861093322753       -2.72401974403082     
  -4.69506834636432       -2.74653676221511     
  -4.68141069683258       -2.76898647005302     
  -4.66763829442965       -2.79136830258820     
  -4.65375145149781       -2.81368169604005     
  -4.63975048292237       -2.83592608781279     
  -4.62563570612980       -2.85810091650447     
  -4.61140744108575       -2.88020562191609     
  -4.59706601029315       -2.90223964506071     
  -4.58261173879025       -2.92420242817259     
  -4.56804495414870       -2.94609341471634     
  -4.55336598647157       -2.96791204939612     
